inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,pooled,high,within_subjects_deltas,distal,wrong,DIV - CC,166,0.1144578313253012,0.0,0.9749135197228002
included_only,pooled,high,within_subjects_deltas,distal,wrong,"MIN(CH, DIV) - CC",166,-0.04216867469879518,0.0,0.9429316607426862
included_only,pooled,high,within_subjects_deltas,proximate,wrong,CC - CH,166,5.957831325301205,6.0,1.2903013960267329
included_only,pooled,high,within_subjects_deltas,distal,punish,CH - CC,166,0.19779453024656965,0.27980789396771133,0.29418055916586316
included_only,pooled,high,within_subjects_deltas,distal,punish,DIV - CC,166,0.09477547186741417,0.0,0.2937625248169166
included_only,pooled,high,within_subjects_deltas,distal,punish,"MIN(CH, DIV) - CC",166,0.0017503900918216567,0.0,0.2704860477417964
included_only,pooled,high,within_subjects_deltas,proximate,punish,CC - CH,166,1.6007300955058799,1.3862943611198906,0.7383661971176946
included_only,pooled,low,within_subjects_all_vignettes,distal,blame,CC,137,6.978102189781022,7.0,1.203347984513792
included_only,pooled,low,within_subjects_all_vignettes,distal,blame,CH,137,7.532846715328467,8.0,1.022188359602825
included_only,pooled,low,within_subjects_all_vignettes,distal,blame,DIV,137,7.109489051094891,7.0,1.2228151711906203
included_only,pooled,low,within_subjects_all_vignettes,distal,wrong,CC,137,6.883211678832117,7.0,1.3452842113376513
included_only,pooled,low,within_subjects_all_vignettes,distal,wrong,CH,137,7.430656934306569,7.0,1.17445619730227
included_only,pooled,low,within_subjects_all_vignettes,distal,wrong,DIV,137,6.890510948905109,7.0,1.3702663551552363
included_only,pooled,low,within_subjects_all_vignettes,distal,punish,CC,137,1.4887820130312341,1.6094379124341003,0.6730727454680537
included_only,pooled,low,within_subjects_all_vignettes,distal,punish,CH,137,1.651056790022722,1.791759469228055,0.6637402386767836
included_only,pooled,low,within_subjects_all_vignettes,distal,punish,DIV,137,1.5307630229617943,1.791759469228055,0.6911276939337764
included_only,pooled,low,within_subjects_all_vignettes,proximate,blame,CC,137,8.16058394160584,8.0,0.9093758092160198
included_only,pooled,low,within_subjects_all_vignettes,proximate,blame,CH,137,1.7956204379562044,1.0,0.9711930665528844
included_only,pooled,low,within_subjects_all_vignettes,proximate,wrong,CC,137,8.087591240875913,8.0,1.0394742205638536
included_only,pooled,low,within_subjects_all_vignettes,proximate,wrong,CH,137,2.372262773722628,1.0,1.7320817943177382
included_only,pooled,low,within_subjects_all_vignettes,proximate,punish,CC,137,1.9527637246492977,2.0794415416798357,0.7605888605558924
included_only,pooled,low,within_subjects_all_vignettes,proximate,punish,CH,137,0.2919275362621954,0.0,0.5225741342297621
included_only,pooled,low,between_subjects_first_vignette,distal,blame,CC,50,6.96,7.0,0.8071112509614591
included_only,pooled,low,between_subjects_first_vignette,distal,blame,CH,38,7.473684210526316,7.0,0.5568658485285913
included_only,pooled,low,between_subjects_first_vignette,distal,blame,DIV,49,6.877551020408164,7.0,1.1480536620229709
included_only,pooled,low,between_subjects_first_vignette,distal,wrong,CC,50,6.9,7.0,0.931314629314664
included_only,pooled,low,between_subjects_first_vignette,distal,wrong,CH,38,7.5,8.0,0.9226870278438682
included_only,pooled,low,between_subjects_first_vignette,distal,wrong,DIV,49,6.387755102040816,6.0,1.3511773651556054
included_only,pooled,low,between_subjects_first_vignette,distal,punish,CC,50,1.4912036248871816,1.6094379124341003,0.5363607251833669
