model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,firework,CH - CC,Between-subj | all_finishers | Firework | CH - CC,1.1606025039123617,0.28288030248134166,0.6061672991131356,1.7150377087115878,4.102804238159754,4.0817259506362104e-05,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - CC in the firework story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,firework,CH - DIV,Between-subj | all_finishers | Firework | CH - DIV,0.730555555555555,0.2823077792692269,0.17724247563238693,1.283868635478723,2.587798173492237,0.009659155704430843,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - DIV in the firework story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,firework,DIV - CC,Between-subj | all_finishers | Firework | DIV - CC,0.4300469483568068,0.3055086155017251,-0.16873893499326964,1.0288328317068833,1.407642621307282,0.1592369201217656,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for DIV - CC in the firework story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,pooled,CH - CC,Between-subj | all_finishers | Pooled | CH - CC,1.011253632908563,0.19732922024642693,0.6244954681281942,1.398011797688932,5.124702928667626,2.980072332391696e-07,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Pooled first-vignette model-based contrast for CH - CC. Positive values mean more Clark blame in the left-hand condition.,Main table or story summary
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,pooled,CH - DIV,Between-subj | all_finishers | Pooled | CH - DIV,0.5217995169082137,0.20418022621666548,0.12161362716830842,0.921985406648119,2.5555830090740868,0.010601007265402997,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Pooled first-vignette model-based contrast for CH - DIV. Positive values mean more Clark blame in the left-hand condition.,Main table or story summary
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,pooled,DIV - CC,Between-subj | all_finishers | Pooled | DIV - CC,0.4894541160003494,0.21422596983659062,0.06957893056746778,0.909329301433231,2.2847562150083855,0.02232712635583646,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Pooled first-vignette model-based contrast for DIV - CC. Positive values mean more Clark blame in the left-hand condition.,Main table or story summary
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,trolley,CH - CC,Between-subj | all_finishers | Trolley | CH - CC,0.8619047619047645,0.2751981451978128,0.3225263087048269,1.401283215104702,3.1319424819714032,0.001736538921101819,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - CC in the trolley story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,trolley,CH - DIV,Between-subj | all_finishers | Trolley | CH - DIV,0.31304347826087253,0.29506029362764574,-0.2652640705171263,0.8913510270388714,1.0609474911453889,0.2887137648555962,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - DIV in the trolley story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,all_finishers,trolley,DIV - CC,Between-subj | all_finishers | Trolley | DIV - CC,0.548861283643892,0.3003923275716784,-0.03989685962875589,1.1376194269165398,1.8271481434988546,0.06767749828742149,,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for DIV - CC in the trolley story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,omnibus_test,all_finishers,pooled,condition_by_story_interaction,Between-subj | all_finishers | Omnibus story interaction,,,,,1.168068719777059,0.557644085401996,condition_by_story_interaction,,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Omnibus test of whether the condition contrasts differ across the firework and trolley story families.,Supplement or story-robustness paragraph
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,coefficient,all_finishers,pooled,,"C(story_condition, Treatment(reference='firework'))[T.trolley]",0.43480885311871154,0.2937414595783241,-0.14091382842103173,1.0105315346584547,1.480243387306969,0.1388083054457834,"C(story_condition, Treatment(reference='firework'))[T.trolley]",,,432,432,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",How the CC baseline changes in trolley relative to firework.,Supplement
