model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,all,CH - CC,Within-subj | all_finishers | Pooled | CH - CC,0.9661759698133365,0.08959373110179299,0.7905754836132561,1.141776456013417,10.78396845327944,4.098152610553847e-27,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))","Pooled repeated-measures model-based contrast for CH - CC, averaging equally across story family and vignette position.",Main table or story summary
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,all,CH - DIV,Within-subj | all_finishers | Pooled | CH - DIV,0.3445748807954238,0.08640330726367086,0.17522751041348086,0.5139222511773668,3.9879825403431495,6.663756656875722e-05,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))","Pooled repeated-measures model-based contrast for CH - DIV, averaging equally across story family and vignette position.",Main table or story summary
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,all,DIV - CC,Within-subj | all_finishers | Pooled | DIV - CC,0.6216010890179128,0.08938569851599008,0.4464083391936169,0.7967938388422087,6.954144783090949,3.5470718241324665e-12,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))","Pooled repeated-measures model-based contrast for DIV - CC, averaging equally across story family and vignette position.",Main table or story summary
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,firework,CH - CC,Within-subj | all_finishers | Firework | CH - CC,1.1835382021811571,0.12176020473680436,0.9448925861467973,1.422183818215517,9.72023827275489,2.472023501742078e-22,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - CC in the firework story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,firework,CH - DIV,Within-subj | all_finishers | Firework | CH - DIV,0.4758298785671685,0.11888175604449802,0.24282591830107553,0.7088338388332616,4.002547526208,6.266407478598201e-05,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - DIV in the firework story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,firework,DIV - CC,Within-subj | all_finishers | Firework | DIV - CC,0.7077083236139886,0.1231349583782552,0.46636823995476984,0.9490484072732074,5.747420009190218,9.061544377623513e-09,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for DIV - CC in the firework story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,trolley,CH - CC,Within-subj | all_finishers | Trolley | CH - CC,0.748813737445516,0.13149780942119627,0.49108276693405956,1.0065447079569725,5.694495906369175,1.2373695477541702e-08,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - CC in the trolley story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,trolley,CH - DIV,Within-subj | all_finishers | Trolley | CH - DIV,0.21331988302367913,0.12520526038923888,-0.032077918014188495,0.4587176840615468,1.7037613464522894,0.08842568202388901,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - DIV in the trolley story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,all_finishers,trolley,DIV - CC,Within-subj | all_finishers | Trolley | DIV - CC,0.535493854421837,0.1294980834031073,0.2816822748847825,0.7893054339588914,4.135148879037292,3.547245932038392e-05,,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for DIV - CC in the trolley story family.,Story-specific table
within_subject_condition_position_model,position_sensitivity_gee_condition_by_position,within_subjects_repeated_measures,omnibus_test,all_finishers,all,condition_by_position_interaction,Within-subj | all_finishers | Omnibus condition-by-position interaction,,,,,2.079880090761099,0.7210695901118974,condition_by_position_interaction,,,1296,432,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference='firework'))",Omnibus test of whether the repeated-measures condition contrasts depend on vignette position.,Supplement or order-sensitivity paragraph
