inclusion_filter,model,outcome,term,estimate,std_error,t_value,p_value,n,r_squared
all_finishers,A_overall_individualism,clark_blame_ch_minus_cc,individualism_score,-0.8182533067161546,1.074043629258082,-0.7618436387741345,0.4465739102298295,432,0.036839114139999185
all_finishers,B_horizontal_vertical,clark_blame_ch_minus_cc,Intercept,1.2642967551605402,0.5414824105384354,2.334880562239054,0.020013333612373636,432,0.04556976524938683
all_finishers,B_horizontal_vertical,clark_blame_ch_minus_cc,C(load_condition)[T.low],-0.06976906851027552,0.1815441014816356,-0.3843092005791944,0.7009410512868514,432,0.04556976524938683
all_finishers,B_horizontal_vertical,clark_blame_ch_minus_cc,C(story_condition)[T.trolley],-0.4456137486791401,0.18061226374455044,-2.467239706985764,0.014008209428283121,432,0.04556976524938683
all_finishers,B_horizontal_vertical,clark_blame_ch_minus_cc,crt_score,0.23125758572699467,0.0735147041930806,3.1457323846344374,0.0017728649134338222,432,0.04556976524938683
all_finishers,B_horizontal_vertical,clark_blame_ch_minus_cc,individualism_horizontal,0.9244670325477722,0.8618804758302305,1.0726162832001194,0.2840505559946704,432,0.04556976524938683
all_finishers,B_horizontal_vertical,clark_blame_ch_minus_cc,individualism_vertical,-1.8162028296730282,0.8913577696860957,-2.0375688544372363,0.04221048745544244,432,0.04556976524938683
all_finishers,A_overall_individualism,clark_blame_div_minus_cc,Intercept,0.05530059484727548,0.5445861270663712,0.1015460954636763,0.9191646331486771,432,0.010541704610500524
all_finishers,A_overall_individualism,clark_blame_div_minus_cc,C(load_condition)[T.low],0.21092226568927674,0.18215599098601074,1.1579211012910096,0.24754348583484714,432,0.010541704610500524
all_finishers,A_overall_individualism,clark_blame_div_minus_cc,C(story_condition)[T.trolley],-0.14394665840253762,0.18175942474365842,-0.7919625549296855,0.42882224492909193,432,0.010541704610500524
all_finishers,A_overall_individualism,clark_blame_div_minus_cc,crt_score,0.10663399862662967,0.07399610280416385,1.441075875426094,0.15029614716819295,432,0.010541704610500524
all_finishers,A_overall_individualism,clark_blame_div_minus_cc,individualism_score,0.7912892865575893,1.077468816602046,0.7343964617491527,0.4631102314999457,432,0.010541704610500524
all_finishers,B_horizontal_vertical,clark_blame_div_minus_cc,Intercept,0.11579845451425028,0.5410285503816856,0.21403390714326742,0.8306230219466371,432,0.027367153194706728
all_finishers,B_horizontal_vertical,clark_blame_div_minus_cc,C(load_condition)[T.low],0.17159318994284106,0.18139193470252726,0.945980262155781,0.344694904811747,432,0.027367153194706728
all_finishers,B_horizontal_vertical,clark_blame_div_minus_cc,C(story_condition)[T.trolley],-0.1333685445175497,0.18046087801393637,-0.7390440852629018,0.4602872315022102,432,0.027367153194706728
all_finishers,B_horizontal_vertical,clark_blame_div_minus_cc,crt_score,0.10836367284749712,0.07345308557995646,1.4752773418829244,0.1408766829185764,432,0.027367153194706728
